canal,contagens
0,4486
1,4541
2,4450
3,4375
4,4320
5,4461
6,4356
7,4369
8,4476
9,4456
10,4172
11,4283
12,4331
13,4285
14,4248
15,4316
16,4104
17,4143
18,4098
19,4066
20,3950
21,3921
22,3904
23,3814
24,3758
25,3936
26,3868
27,3795
28,3593
29,3677
30,3560
31,3686
32,3685
33,3572
34,3639
35,3532
36,3574
37,3764
38,3628
39,3617
40,3519
41,3592
42,3600
43,3543
44,3565
45,3517
46,3494
47,3453
48,3628
49,3512
50,3583
51,3526
52,3449
53,3652
54,3642
55,3561
56,3518
57,3411
58,3433
59,3557
60,3533
61,3557
62,3478
63,3561
64,3531
65,3553
66,3446
67,3537
68,3548
69,3736
70,4131
71,4635
72,5276
73,5768
74,6159
75,6217
76,5791
77,5241
78,4613
79,4152
80,3688
81,3355
82,3423
83,3333
84,3265
85,3318
86,3332
87,3351
88,3293
89,3200
90,3191
91,3301
92,3263
93,3262
94,3309
95,3267
96,3266
97,3234
98,3128
99,3154
100,3369
101,3273
102,3139
103,3162
104,3212
105,3229
106,3289
107,3296
108,3290
109,3178
110,3164
111,3174
112,3266
113,3178
114,3219
115,3061
116,3153
117,3118
118,3063
119,2977
120,2997
121,2970
122,2956
123,2950
124,2863
125,2864
126,2786
127,2798
128,2731
129,2647
130,2662
131,2730
132,2739
133,2658
134,2579
135,2580
136,2642
137,2486
138,2599
139,2426
140,2511
141,2538
142,2559
143,2532
144,2450
145,2426
146,2461
147,2451
148,2567
149,2718
150,2811
151,2811
152,2912
153,3020
154,3167
155,3206
156,3185
157,3131
158,3150
159,3051
160,3014
161,2853
162,2792
163,2698
164,2683
165,2630
166,2533
167,2561
168,2502
169,2481
170,2392
171,2459
172,2378
173,2394
174,2385
175,2384
176,2467
177,2394
178,2410
179,2385
180,2408
181,2403
182,2362
183,2373
184,2402
185,2387
186,2403
187,2350
188,2357
189,2343
190,2379
191,2366
192,2274
193,2363
194,2383
195,2303
196,2309
197,2260
198,2313
199,2261
200,2359
201,2328
202,2289
203,2327
204,2287
205,2336
206,2418
207,2396
208,2434
209,2539
210,2665
211,2684
212,2821
213,3044
214,3187
215,3384
216,3591
217,3915
218,4160
219,4370
220,4499
221,4840
222,4916
223,4960
224,4844
225,4692
226,4529
227,4238
228,4189
229,3830
230,3504
231,3292
232,3068
233,2896
234,2837
235,2661
236,2473
237,2420
238,2452
239,2366
240,2355
241,2264
242,2288
243,2197
244,2245
245,2289
246,2232
247,2318
248,2265
249,2338
250,2235
251,2233
252,2196
253,2265
254,2176
255,2351
256,2300
257,2263
258,2211
